image_path,label,class_name,source_dataset,original_split,original_style,artist,split_random,split_cross_a,split_cross_b,split_artist
data\standardized\coco\00056.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00057.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00058.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\places365\00059.jpg,0,photo,places365,,,,val,train,test,test
data\standardized\places365\00060.jpg,0,photo,places365,,,,val,train,test,test
data\standardized\coco\00061.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00062.jpg,0,photo,coco,,,,test,test,train,val
data\standardized\coco\00063.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00064.jpg,0,photo,places365,,,,val,val,test,test
data\standardized\places365\00065.jpg,0,photo,places365,,,,val,train,test,test
data\standardized\wikiart\00066.jpg,1,art,wikiart,,,bela-czobel,train,train,test,train
data\standardized\artbench\00067.jpg,1,art,artbench,train,art_nouveau,theophile-steinlen,train,test,val,train
data\standardized\coco\00068.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00069.jpg,1,art,artbench,train,romanticism,howard-pyle,train,test,train,val
data\standardized\artbench\00070.jpg,1,art,artbench,test,impressionism,walter-osborne,test,test,train,val
data\standardized\places365\00071.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00072.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00073.jpg,0,photo,coco,,,,test,test,train,val
data\standardized\coco\00074.jpg,0,photo,coco,,,,val,test,val,val
data\standardized\coco\00075.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00076.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\wikiart\00077.jpg,1,art,wikiart,,,childe-hassam,train,train,test,test
data\standardized\wikiart\00078.jpg,1,art,wikiart,,,pablo-picasso,test,train,test,train
data\standardized\coco\00079.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00080.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00081.jpg,1,art,wikiart,,,joan-miro,train,train,test,train
data\standardized\artbench\00082.jpg,1,art,artbench,train,ukiyo_e,utagawa-toyokuni-i,train,test,train,train
data\standardized\artbench\00083.jpg,1,art,artbench,train,expressionism,oleg-holosiy,train,test,train,train
data\standardized\places365\00084.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00085.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00086.jpg,1,art,artbench,train,ukiyo_e,shunkosai-hokushu,train,test,train,train
data\standardized\coco\00087.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00088.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00089.jpg,0,photo,coco,,,,val,test,val,test
data\standardized\places365\00090.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00091.jpg,1,art,artbench,train,romanticism,sophie-gengembre-anderson,train,test,val,val
data\standardized\places365\00092.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\00093.jpg,1,art,wikiart,,,john-henry-twachtman,train,train,test,val
data\standardized\artbench\00094.jpg,1,art,artbench,test,impressionism,victor-borisov-musatov,val,test,train,train
data\standardized\coco\00095.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00096.jpg,1,art,wikiart,,,marc-chagall,train,train,test,train
data\standardized\coco\00097.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00098.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\00099.jpg,1,art,wikiart,,,joaquγö£╨│γö¼╨╜n-sorolla,train,train,test,train
data\standardized\artbench\00100.jpg,1,art,artbench,train,realism,gustave-courbet,train,test,train,train
data\standardized\places365\00101.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00102.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\wikiart\00103.jpg,1,art,wikiart,,,john-henry-twachtman,train,train,test,val
data\standardized\coco\00104.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00105.jpg,1,art,artbench,test,art_nouveau,louis-comfort-tiffany,train,test,train,train
data\standardized\wikiart\00106.jpg,1,art,wikiart,,,albert-pinkham-ryder,train,train,test,val
data\standardized\places365\00107.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\00108.jpg,1,art,wikiart,,,mary-fedden,train,train,test,test
data\standardized\places365\00109.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00110.jpg,0,photo,coco,,,,test,test,val,test
data\standardized\wikiart\00111.jpg,1,art,wikiart,,,pablo-picasso,train,train,test,train
data\standardized\wikiart\00112.jpg,1,art,wikiart,,,oskar-kokoschka,train,val,test,train
data\standardized\wikiart\00113.jpg,1,art,wikiart,,,isaac-levitan,train,train,test,test
data\standardized\places365\00114.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00115.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00116.jpg,1,art,wikiart,,,friedel-dzubas,train,train,test,train
data\standardized\places365\00117.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\wikiart\00118.jpg,1,art,wikiart,,,viktor-vasnetsov,train,val,test,test
data\standardized\places365\00119.jpg,0,photo,places365,,,,val,train,test,test
data\standardized\coco\00120.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00121.jpg,1,art,artbench,test,ukiyo_e,kubo-shunman,test,test,val,train
data\standardized\wikiart\00122.jpg,1,art,wikiart,,,paul-gauguin,train,train,test,val
data\standardized\places365\00123.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00124.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\places365\00125.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\wikiart\00126.jpg,1,art,wikiart,,,ivan-milev,train,val,test,train
data\standardized\artbench\00127.jpg,1,art,artbench,train,art_nouveau,sergey-solomko,train,test,train,train
data\standardized\places365\00128.jpg,0,photo,places365,,,,val,val,test,test
data\standardized\places365\00129.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\artbench\00130.jpg,1,art,artbench,train,realism,dobri-dobrev,train,test,val,train
data\standardized\coco\00131.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00132.jpg,1,art,artbench,test,expressionism,august-macke,train,test,train,train
data\standardized\wikiart\00133.jpg,1,art,wikiart,,,jacek-malczewski,train,val,test,train
data\standardized\wikiart\00134.jpg,1,art,wikiart,,,kazimir-malevich,train,train,test,train
data\standardized\places365\00135.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00136.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00137.jpg,1,art,wikiart,,,el-greco,train,train,test,train
data\standardized\artbench\00138.jpg,1,art,artbench,test,surrealism,roosevelt,test,test,train,test
data\standardized\coco\00139.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00140.jpg,1,art,wikiart,,,childe-hassam,train,train,test,test
data\standardized\places365\00141.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00142.jpg,1,art,artbench,train,realism,david-bates,train,test,train,train
data\standardized\artbench\00143.jpg,1,art,artbench,train,art_nouveau,georges-rochegrosse,train,test,train,train
data\standardized\wikiart\00144.jpg,1,art,wikiart,,,berthe-morisot,train,train,test,test
data\standardized\wikiart\00145.jpg,1,art,wikiart,,,ilya-mashkov,train,train,test,test
data\standardized\artbench\00146.jpg,1,art,artbench,train,ukiyo_e,utagawa-hiroshige-iii,train,test,train,train
data\standardized\artbench\00147.jpg,1,art,artbench,train,art_nouveau,filipp-malyavin,train,test,train,train
data\standardized\wikiart\00148.jpg,1,art,wikiart,,,vasile-dobrian,train,val,test,test
data\standardized\coco\00149.jpg,0,photo,coco,,,,test,test,train,test
data\standardized\places365\00150.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00151.jpg,0,photo,coco,,,,test,test,train,test
data\standardized\coco\00152.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00153.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00154.jpg,0,photo,coco,,,,val,test,train,val
data\standardized\artbench\00155.jpg,1,art,artbench,test,ukiyo_e,utagawa-hiroshige-ii,train,test,train,train
data\standardized\artbench\00156.jpg,1,art,artbench,train,surrealism,ladislav,train,test,train,train
data\standardized\wikiart\00157.jpg,1,art,wikiart,,,frederic-bazille,train,train,test,train
data\standardized\wikiart\00158.jpg,1,art,wikiart,,,henri-de-toulouse-lautrec,train,train,test,train
data\standardized\coco\00159.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00160.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00161.jpg,1,art,artbench,train,surrealism,kansuke-yamamoto,train,test,val,train
data\standardized\wikiart\00162.jpg,1,art,wikiart,,,friedel-dzubas,train,train,test,train
data\standardized\coco\00163.jpg,0,photo,coco,,,,val,test,train,val
data\standardized\coco\00164.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00165.jpg,1,art,wikiart,,,konstantin-bogaevsky,train,train,test,val
data\standardized\places365\00166.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00167.jpg,1,art,artbench,train,ukiyo_e,torii-kiyomasu-ii,train,test,train,val
data\standardized\wikiart\00168.jpg,1,art,wikiart,,,brett-whiteley,train,val,test,train
data\standardized\places365\00169.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\coco\00170.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00171.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00172.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00173.jpg,1,art,wikiart,,,rembrandt,train,train,test,train
data\standardized\artbench\00174.jpg,1,art,artbench,train,post_impressionism,pierre-bonnard,train,test,train,val
data\standardized\coco\00175.jpg,0,photo,coco,,,,val,test,train,test
data\standardized\wikiart\00176.jpg,1,art,wikiart,,,federico-zandomeneghi,train,train,test,train
data\standardized\artbench\00177.jpg,1,art,artbench,test,romanticism,albert-bierstadt,train,test,train,test
data\standardized\artbench\00178.jpg,1,art,artbench,train,ukiyo_e,katsukawa-shuncho,train,test,train,test
data\standardized\coco\00179.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00180.jpg,0,photo,places365,,,,test,val,test,test
data\standardized\places365\00181.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00182.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00183.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00184.jpg,0,photo,places365,,,,val,train,test,test
data\standardized\artbench\00185.jpg,1,art,artbench,train,realism,carl-bloch,test,test,val,train
data\standardized\places365\00186.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\places365\00187.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\coco\00188.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00189.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\artbench\00190.jpg,1,art,artbench,train,impressionism,leon-dabo,train,test,train,train
data\standardized\coco\00191.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00192.jpg,0,photo,places365,,,,val,val,test,val
data\standardized\places365\00193.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\places365\00194.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00195.jpg,1,art,artbench,train,surrealism,olbinski,train,test,train,train
data\standardized\coco\00196.jpg,0,photo,coco,,,,test,test,val,val
data\standardized\wikiart\00197.jpg,1,art,wikiart,,,vincent-van-gogh,train,train,test,train
data\standardized\coco\00198.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00199.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\wikiart\00200.jpg,1,art,wikiart,,,gustave-courbet,train,train,test,train
data\standardized\artbench\00201.jpg,1,art,artbench,test,realism,grigoriy-myasoyedov,train,test,val,train
data\standardized\artbench\00202.jpg,1,art,artbench,train,ukiyo_e,katsukawa-shunko,train,test,train,train
data\standardized\coco\00203.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00204.jpg,1,art,artbench,train,romanticism,thomas-girtin,val,test,val,test
data\standardized\places365\00205.jpg,0,photo,places365,,,,test,train,test,test
data\standardized\wikiart\00206.jpg,1,art,wikiart,,,andy-warhol,train,val,test,train
data\standardized\coco\00207.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00208.jpg,1,art,wikiart,,,george-morland,train,train,test,train
data\standardized\artbench\00209.jpg,1,art,artbench,test,realism,isaac-levitan,train,test,train,test
data\standardized\wikiart\00210.jpg,1,art,wikiart,,,nicholas-roerich,train,train,test,train
data\standardized\artbench\00211.jpg,1,art,artbench,train,post_impressionism,ion-pacea,train,test,train,val
data\standardized\places365\00212.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00213.jpg,0,photo,coco,,,,val,test,val,val
data\standardized\places365\00214.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00215.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00216.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00217.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00218.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00219.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00220.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00221.jpg,1,art,artbench,train,surrealism,max-ernst,train,test,train,train
data\standardized\artbench\00222.jpg,1,art,artbench,train,baroque,hendrick-terbrugghen,val,test,train,test
data\standardized\wikiart\00223.jpg,1,art,wikiart,,,tano-festa,train,train,test,train
data\standardized\coco\00224.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00225.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00226.jpg,1,art,artbench,train,ukiyo_e,katsushika-hokusai,train,test,val,train
data\standardized\coco\00227.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00228.jpg,1,art,artbench,train,post_impressionism,paul-cezanne,train,test,val,train
data\standardized\places365\00229.jpg,0,photo,places365,,,,val,val,test,test
data\standardized\coco\00230.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00231.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00232.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00233.jpg,1,art,wikiart,,,cima-da-conegliano,train,train,test,test
data\standardized\places365\00234.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00235.jpg,1,art,artbench,train,renaissance,bernard-van-orley,train,test,val,train
data\standardized\coco\00236.jpg,0,photo,coco,,,,val,test,train,test
data\standardized\wikiart\00237.jpg,1,art,wikiart,,,walter-battiss,train,train,test,train
data\standardized\places365\00238.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\wikiart\00239.jpg,1,art,wikiart,,,david-burliuk,train,train,test,train
data\standardized\wikiart\00240.jpg,1,art,wikiart,,,claude-monet,train,train,test,train
data\standardized\coco\00241.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00242.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00243.jpg,0,photo,coco,,,,test,test,val,test
data\standardized\artbench\00244.jpg,1,art,artbench,train,baroque,nicolas-tournier,train,test,train,train
data\standardized\places365\00245.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00246.jpg,1,art,artbench,train,realism,antonio-jacobsen,val,test,train,train
data\standardized\wikiart\00247.jpg,1,art,wikiart,,,william-turner,train,train,test,test
data\standardized\wikiart\00248.jpg,1,art,wikiart,,,ilya-repin,train,train,test,train
data\standardized\wikiart\00249.jpg,1,art,wikiart,,,salvador-dali,train,train,test,train
data\standardized\wikiart\00250.jpg,1,art,wikiart,,,mykola-pymonenko,train,train,test,val
data\standardized\artbench\00251.jpg,1,art,artbench,train,impressionism,eugene-boudin,train,test,val,val
data\standardized\wikiart\00252.jpg,1,art,wikiart,,,john-singer-sargent,train,train,test,train
data\standardized\places365\00253.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00254.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00255.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00256.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00257.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00258.jpg,0,photo,coco,,,,test,test,train,val
data\standardized\places365\00259.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00260.jpg,0,photo,places365,,,,val,train,test,test
data\standardized\coco\00261.jpg,0,photo,coco,,,,test,test,val,val
data\standardized\coco\00262.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00263.jpg,1,art,wikiart,,,edward-avedisian,train,train,test,train
data\standardized\coco\00264.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00265.jpg,1,art,artbench,train,romanticism,camille-corot,train,test,train,test
data\standardized\wikiart\00266.jpg,1,art,wikiart,,,maria-primachenko,train,train,test,val
data\standardized\wikiart\00267.jpg,1,art,wikiart,,,pierre-auguste-renoir,train,val,test,val
data\standardized\wikiart\00268.jpg,1,art,wikiart,,,jean-paul-riopelle,test,train,test,train
data\standardized\wikiart\00269.jpg,1,art,wikiart,,,wilhelm-kotarbinski,train,train,test,val
data\standardized\places365\00270.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00271.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00272.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\wikiart\00273.jpg,1,art,wikiart,,,leonardo-da-vinci,val,train,test,train
data\standardized\artbench\00274.jpg,1,art,artbench,train,expressionism,stanislaw-wyspianski,train,test,train,test
data\standardized\places365\00275.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\wikiart\00276.jpg,1,art,wikiart,,,konstantin-korovin,train,train,test,val
data\standardized\wikiart\00277.jpg,1,art,wikiart,,,pavel-svinyin,train,train,test,train
data\standardized\artbench\00278.jpg,1,art,artbench,train,post_impressionism,augustus-john,val,test,train,train
data\standardized\coco\00279.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00280.jpg,1,art,wikiart,,,dmitry-levitzky,train,val,test,val
data\standardized\wikiart\00281.jpg,1,art,wikiart,,,katsushika-hokusai,train,train,test,train
data\standardized\wikiart\00282.jpg,1,art,wikiart,,,parmigianino,train,train,test,train
data\standardized\places365\00283.jpg,0,photo,places365,,,,val,train,test,val
data\standardized\places365\00284.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\00285.jpg,1,art,wikiart,,,camille-pissarro,train,train,test,val
data\standardized\wikiart\00286.jpg,1,art,wikiart,,,gustave-courbet,train,train,test,train
data\standardized\artbench\00287.jpg,1,art,artbench,train,realism,gevorg-bashindzhagian,train,test,train,train
data\standardized\wikiart\00288.jpg,1,art,wikiart,,,esteban-vicente,val,train,test,train
data\standardized\artbench\00289.jpg,1,art,artbench,train,ukiyo_e,kubo-shunman,train,test,train,train
data\standardized\artbench\00290.jpg,1,art,artbench,train,expressionism,tia-peltz,test,test,train,test
data\standardized\coco\00291.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00292.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\wikiart\00293.jpg,1,art,wikiart,,,guido-reni,train,train,test,train
data\standardized\artbench\00294.jpg,1,art,artbench,train,impressionism,aristide-maillol,train,test,train,val
data\standardized\places365\00295.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\coco\00296.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00297.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00298.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00299.jpg,1,art,artbench,train,realism,adolph-menzel,val,test,train,train
data\standardized\coco\00300.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00301.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00302.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00303.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\artbench\00304.jpg,1,art,artbench,train,realism,mykola-samokysh,val,test,train,val
data\standardized\wikiart\00305.jpg,1,art,wikiart,,,dmitry-levitzky,train,train,test,val
data\standardized\wikiart\00306.jpg,1,art,wikiart,,,james-mcneill-whistler,train,train,test,train
data\standardized\coco\00307.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00308.jpg,1,art,wikiart,,,gustave-dore,train,train,test,train
data\standardized\wikiart\00309.jpg,1,art,wikiart,,,gian-lorenzo-bernini,train,val,test,val
data\standardized\coco\00310.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00311.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\00312.jpg,1,art,wikiart,,,giorgio-vasari,train,train,test,test
data\standardized\coco\00313.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00314.jpg,1,art,artbench,train,art_nouveau,theophile-steinlen,train,test,train,train
data\standardized\coco\00315.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00316.jpg,0,photo,places365,,,,test,val,test,val
data\standardized\artbench\00317.jpg,1,art,artbench,train,ukiyo_e,hosoda-eishi,train,test,val,train
data\standardized\coco\00318.jpg,0,photo,coco,,,,val,test,val,val
data\standardized\places365\00319.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00320.jpg,1,art,artbench,test,art_nouveau,carl-larsson,train,test,train,val
data\standardized\coco\00321.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00322.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\coco\00323.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00324.jpg,1,art,wikiart,,,tintoretto,train,train,test,train
data\standardized\places365\00325.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00326.jpg,1,art,artbench,train,baroque,anthony-van-dyck,test,test,val,train
data\standardized\wikiart\00327.jpg,1,art,wikiart,,,pyotr-konchalovsky,train,train,test,test
data\standardized\places365\00328.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\wikiart\00329.jpg,1,art,wikiart,,,le-nain-brothers,train,train,test,test
data\standardized\coco\00330.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00331.jpg,1,art,artbench,test,realism,emile-claus,train,test,train,train
data\standardized\artbench\00332.jpg,1,art,artbench,train,renaissance,pieter-bruegel-the-elder,train,test,train,train
data\standardized\wikiart\00333.jpg,1,art,wikiart,,,willard-metcalf,train,train,test,train
data\standardized\places365\00334.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\artbench\00335.jpg,1,art,artbench,train,surrealism,yu,train,test,train,train
data\standardized\wikiart\00336.jpg,1,art,wikiart,,,vincent-van-gogh,train,train,test,train
data\standardized\artbench\00337.jpg,1,art,artbench,train,baroque,anthony-van-dyck,train,test,val,train
data\standardized\artbench\00338.jpg,1,art,artbench,train,surrealism,olbinski,train,test,train,train
data\standardized\artbench\00339.jpg,1,art,artbench,train,expressionism,alekos-kontopoulos,train,test,train,train
